person_id,spouse_id,marriage_id,union_status,m_number,is_old_style,m_day,m_month,m_year,church_id,place_id,m_admin_division,m_civil_place_details,m_civil_place_address,date_sort
14661,14660,M_14661_14660,,,,,,,,,,,,
14664,14665,M_14664_14665,,,,,,,,,,,,
14665,14664,M_14665_14664,,,,,,,,,,,,
14688,14689,M_14688_14689,,,,,,,,,,,,
14689,14688,M_14689_14688,,,,,,,,,,,,
14690,14691,M_14690_14691,,,,,,,,,,,,
14691,14690,M_14691_14690,,,,,,,,,,,,
14692,14693,M_14692_14693,,,,,,,,,,,,
14693,14692,M_14693_14692,,,,,,,,,,,,
14712,14713,M_14712_14713,,,,,,,,,,,,
14713,14712,M_14713_14712,,,,,,,,,,,,
15104,15105,M_15104,,1,,,,,,,,,,
15105,15104,M_15105,,1,,,,,,,,,,
15112,15113,M_15112,,1,,,,,,,,,,
15113,15112,M_15113,,1,,,,,,,,,,
15120,15121,M_15120,,1,,,,,,,,,,
15121,15120,M_15121,,1,,,,,,,,,,
15232,15233,M_15232,,1,,,,,,,,,,
15233,15232,M_15233,,1,,,,,,,,,,
15236,15237,M_15236,,1,,,,,,,,,,
15237,15236,M_15237,,1,,,,,,,,,,
15240,15241,M_15240,,1,,,,,,,,,,
15241,15240,M_15241,,1,,,,,,,,,,
15248,15249,M_15248,,1,,,,1558,,,,,,1558-00-00
15249,15248,M_15249,,1,,,,,,,,,,
15252,15253,M_15252,,1,,,,,,,,,,
15253,15252,M_15253,,1,,,,,,,,,,
15258,15259,M_15258,,1,,,,,,,,,,
15259,15258,M_15259,,1,,,,,,,,,,
15260,15261,M_15260,,1,,,,,,,,,,
15261,15260,M_15261,,1,,,,,,,,,,
15262,15263,M_15262,,1,,,,,,,,,,
15263,15262,M_15263,,1,,,,,,,,,,
15264,15265,M_15264,,1,,,,,,,,,,
15265,15264,M_15265,,1,,,,,,,,,,
15296,15297,M_15296,,1,,,,,,,,,,
15297,15296,M_15297,,1,,,,,,,,,,
15300,15301,M_15300,,1,,,,,,,,,,
15301,15300,M_15301,,1,,,,,,,,,,
15316,15317,M_15316,,1,,,,,,,,,,
15317,15316,M_15317,,1,,,,,,,,,,
15318,15319,M_15318,,1,,,,,,,,,,
15319,15318,M_15319,,1,,,,,,,,,,
15328,15329,M_15328,,1,,,,,,,,,,
15329,15328,M_15329,,1,,,,,,,,,,
15366,15367,M_15366,,1,,,,,,,,,,
15367,15366,M_15367,,1,,,,,,,,,,
15370,15371,M_15370,,1,,,,1598,,,,,,1598-00-00
15371,15370,M_15371,,1,,,,,,,,,,
15372,15373,M_15372,,1,,,,,,,,,,
15373,15372,M_15373,,1,,,,,,,,,,
15392,15393,M_15392,,1,,,,,,,,,,
15393,15392,M_15393,,1,,,,,,,,,,
15444,15445,M_15444,,1,,,,,,,,,,
15445,15444,M_15445,,1,,,,,,,,,,
15448,15449,M_15448,,1,,,,,,,,,,
15449,15448,M_15449,,1,,,,,,,,,,
15460,15461,M_15460,,1,,,,,,,,,,
15461,15460,M_15461,,1,,,,,,,,,,
15472,15473,M_15472,,1,,,,,,,,,,
15473,15472,M_15473,,1,,,,,,,,,,
15474,15475,M_15474_1,,1,,,,,,,,,,
15474,,M_15474_2,,2,,,,,,,,,,
15475,15474,M_15475,,1,,,,,,,,,,
15496,15497,M_15496,,1,,,,,,,,,,
15497,15496,M_15497,,1,,,,,,,,,,
15498,15499,M_15498,,1,,,,,,,,,,
15499,15498,M_15499,,1,,,,,,,,,,
15508,15509,M_15508,,1,,,,,,,,,,
15509,15508,M_15509,,1,,,,,,,,,,
15518,15519,M_15518,,1,,,,,,,,,,
15519,15518,M_15519,,1,,,,,,,,,,
15552,15553,M_15552,,1,,,,,,,,,,
15553,15552,M_15553,,1,,,,,,,,,,
15562,15563,M_15562,,1,,,,,,,,,,
15563,15562,M_15563,,1,,,,,,,,,,
15564,15565,M_15564,,1,,,,,,,,,,
15565,15564,M_15565,,1,,,,,,,,,,
15584,15585,M_15584,,1,,,,,,,,,,
15585,15584,M_15585,,1,,,,,,,,,,
15586,15587,M_15586,,1,,,,,,,,,,
