place_id,name_current,status,geo_lat,geo_lng,google_maps_url,note
RU_NOVOSTANSKOE,п. Новостанський,PE,,,https://familio.org/settlements/fb45d974-d079-4a6b-b57e-b14ae846b8cf,
RU_OLEKHNOVO,сел. Олехнове,,,,https://familio.org/settlements/f1f57219-59f1-4932-a319-1e0f845b6c39,
RU_OSECHNO,с. Осєчно,,,,https://familio.org/settlements/368d5e6f-a20a-405f-b765-d897b46f56e7,
RU_OSOSYE,сел. Ососьє,,,,https://familio.org/settlements/018aac89-77e4-4797-ae29-d14d80ea198a,
RU_OVSISHCHE,с. Овсище,,,,https://familio.org/settlements/add4d977-0304-46c8-9043-8163a7888b5c,
RU_AVSEEVO,с. Авсеєво,NE,,,https://familio.org/settlements/4f404ce8-6178-49ed-981f-4f10a4813f34,
RU_PASYNKI,сел. Пасинки,,,,https://familio.org/settlements/0ebe3ad5-9d2c-4231-b99f-5fa0ad7ad069,
RU_PAVLOVO,сел. Павлове,,,,https://familio.org/settlements/a281ad2d-8be9-4d69-bc23-678005c24fb3,
RU_PENKOVO,сел. Пенькове,,,,https://familio.org/settlements/81d4c49d-38b6-436e-8406-80bde2b11eaf,
RU_PETROVO,сел. Петрове,NE,,,https://familio.org/settlements/d3682966-1ae5-431d-9079-f761a19a358b,
RU_PODMONASTYRSKAYA_SLOBODKA,д. Підмонастирська Слобідка,NE,,,https://familio.org/settlements/be60412c-1bf9-41ec-9554-304c6c2d15b8,
RU_BOLSHOE_PLOSKOE,сел. Велике Плоске,,,,https://familio.org/settlements/ecdc6f96-5b39-4388-85dd-d7182ce362c4,
RU_POCHINOK,сел. Починок,,,,https://familio.org/settlements/29841132-e6c9-45f8-83ff-a7b88530560e,
RU_PODOLKHOVETS,сел. Подольховець,NE,,,https://familio.org/settlements/bc29b8a6-736d-4b1f-8413-38ab2a089086,
RU_PROKHOROVO,сел. Прохорове,,,,https://familio.org/settlements/8e09e12e-7c67-45e0-a1e4-8907316f7378,
RU_RAMENYE,сел. Рамення,,,,https://familio.org/settlements/802da666-5720-416a-997c-a8a091f6782d,
RU_ARZHANOE,сел. Аржане,,,,https://familio.org/settlements/0598d5cb-d162-4c92-acc0-6163e63b20df,
RU_RUSSKAYA_GORA,сел. Руська Гора,,,,https://familio.org/settlements/6861ad2c-109a-4ca2-b6ea-dc6ef7412b73,
RU_SELTSY,сел. Сільці,,,,,
RU_SKOBLEVO,сел. Скоблеве,,,,https://familio.org/settlements/430eab87-0310-4f58-8387-9834edcca659,
RU_SOSNOVKA,сел. Соснівка,,,,https://familio.org/settlements/516af224-a2a5-49bf-99d6-4555b597b429,
RU_SPASOKLINYE,сел. Спасоклиння,,,,https://familio.org/settlements/98f57895-fe40-4138-9bcd-8b96f55458a0,
RU_SPIROVO,сел. Спірове,,,,https://familio.org/settlements/24725ce4-c897-4dc5-be60-9d49a541b800,
RU_STAROE,сел. Старе,,,,https://familio.org/settlements/6feb6a73-2552-40dd-94e9-5569307a5f04,
RU_STAN,сел. Стан,,,,https://familio.org/settlements/257640e4-d29e-4f1b-a402-4468102db526,
RU_STESHKOVO,сел. Стешкове,,,,https://familio.org/settlements/af015349-ede1-40a1-abe5-53e027cd330b,
RU_STROKINA_GORKA,сел. Строкіна Гірка,,,,https://familio.org/settlements/24dc557c-302b-4fcc-b5a0-38e2b09f5673,
RU_SVINARIKHA,сел. Свинариха,,,,https://familio.org/settlements/f289feff-535e-4d73-b447-a17ba39469af,
RU_TARASOVO,сел. Тарасове,,,,https://familio.org/settlements/6289afc9-927d-4204-8fd8-de97c4f552f1,
RU_TIMOKHINO,сел. Тимохіне,,,,https://familio.org/settlements/908c862f-2634-4364-ab1a-9f199b245300,
RU_TIMOSHKINO,сел. Тимошкіне,,,,https://familio.org/settlements/8fd50d9a-4306-4f5a-9917-d4e55b317f45,
RU_TOLMACHI,с. Толмачі,,,,https://familio.org/settlements/ca2d0942-675c-4f09-a4a2-ab020032d4a4,
RU_TOMILINO,сел. Томіліне,NE,,,https://maps.app.goo.gl/zKdKn2NmCrcfmAxd8,
RU_TRESTNA,с. Трестна,,,,https://familio.org/settlements/162c8626-df02-4afd-b0da-d404ef5f4163,
RU_MATVEEVO,с. Матвійове,,,,https://familio.org/settlements/adb632a5-c42b-4a82-a5d7-1b62f14cbf77,
RU_TSIRIBUSHEVO,сел. Цирибушеве,,,,https://familio.org/settlements/fe4b00a2-3805-4edc-afb3-f8ab899adefc,
RU_BOLSHAYA_VARIZHA,сел. Велика Варижа,NE,,,https://familio.org/settlements/97758d3e-44c7-4b98-acb4-646fd6af57f7,
RU_VASILKOVO,сел. Василькове,,,,https://familio.org/settlements/cf36f6d6-cf50-4ac3-9f63-20fa6a2f8924,
RU_VETCHINO,сел. Ветчине,,,,https://familio.org/settlements/0d5ecb1b-72b5-4b3b-b1e5-230b28376e33,
RU_VOLKOVO,сел. Волкове,,,,https://familio.org/settlements/c2d50a8a-810f-4221-b242-6831aa7d1395,
RU_VORONTSOVO,с. Воронцове,NE,,,https://familio.org/settlements/ad566b1a-6a10-4d12-9d0b-bafc1714ea3d,
RU_VOROBYEVO,сел. Воробйове,,,,https://familio.org/settlements/eb1970c3-c00f-4014-927a-96fad2bffb8d,
RU_VOSKRESENSKOE,сел. Воскресенське,,,,https://familio.org/settlements/1fa3a172-48f0-4a98-8ff0-49786fb2f4db,
RU_VYDROPUZHSK,с. Видропужськ,,,,https://familio.org/settlements/99b31f88-27f2-4d81-8505-b3c398343390,
RU_VYSOKOE,сел. Високе,,,,https://familio.org/settlements/bd6391b5-1802-40ed-8b38-88cf4b0c5d41,
RU_VYSHNIY_VOLOCHEK,м. Вишній Волочек,,,,https://familio.org/settlements/1c219b85-b57d-4b75-9229-bce4d870c8a0,
RU_YAKOVTSEVO,сел. Яковцеве,,,,https://familio.org/settlements/fd4c54bf-3650-48bc-9812-34ccffa7a901,
RU_YANINO,сел. Яніне,,,,https://familio.org/settlements/b4fc5e78-d319-48a3-9612-ea970bb97214,
RU_YASHCHINY,сел. Ящини,,,,https://familio.org/settlements/6bdc2f11-2ea7-45e5-b014-7406e16229b1,
RU_YUKHOVO,сел. Юхове,,,,https://familio.org/settlements/6614a544-d7d4-41c8-9221-7639ac5863d8,
RU_YURINSKAYA,сел. Юринська,,,,https://familio.org/settlements/c4fb562e-d956-43dd-bd2a-7776eceacbe3,
RU_ZASEKA,сел. Засіка,,,,,
RU_ZARECHYE,сел. Заріччя,NE,,,https://familio.org/settlements/973d53bf-d137-46a9-a272-5d1905417e30,
RU_ZMEEVO,сел. Змійове,,,,https://familio.org/settlements/a584bcea-502a-4094-929c-4262ea55a228,
RU_ZYBUNOVO,сел. Зибунове,,,,https://familio.org/settlements/341d5f72-b6e7-429d-8d19-573ccee53c42,
UA_CHUKVA,с. Чуква,,,,https://maps.app.goo.gl/5Ek7X1212DB91hBe9,
UA_DROHOBYCH,м. Дрогобич,,,,https://maps.app.goo.gl/JyGyzezCBAp4pWfz5,
UA_DUBLIANY,с. Дубляни,,,,https://maps.app.goo.gl/M6DVhmQCXSmyZbov7,
UA_HORDYNIA,с. Гординя,,,,https://maps.app.goo.gl/WaM5QSgNK2ZjJyxG8,
UA_HORODYSHCHE,с. Городище,,,,https://maps.app.goo.gl/i5aUxRKssmUk6EV76,
UA_KULCHYTSI,с. Кульчиці,,,,https://maps.app.goo.gl/cJpmaqwMs4SLmc1H9,
UA_LOPUSHANKA,с. Лопушанка,,,,https://maps.app.goo.gl/hrA2u8sxr9795X7K6,
UA_LOPUSHNYTSIA,с. Лопушниця,,,,https://maps.app.goo.gl/b2VerB9VZUZCNQvg8,
UA_LVIV,м. Львів,,,,https://maps.app.goo.gl/aasNvLjzmmhWKf2Q7,
UA_NAHIRNE,с. Нагірне,,,,https://maps.app.goo.gl/nb3LdKyvRdenfmyz5,
UA_SAMBIR,м. Самбір,,,,https://maps.app.goo.gl/7j8dhUHAeR7pin437,
UA_SELETS,с. Селець,,,,https://maps.app.goo.gl/RsWAPde422zRBpYa6,
UA_STUPNYTSIA,с. Ступниця,,,,https://maps.app.goo.gl/DeyPSAhtdZYBCGno8,
UA_URIZH,с. Уріж,,,,https://maps.app.goo.gl/XttE15JRwWf1zCxGA,
