person_id,parents_bio,parents_step,parents_adopted,spouses
1 675,3350;,,,1674
1 744,3488;3489,,,1745
1 745,3490;3491,,,1744
1 746,,,,
1 752,3504;,,,1753
1 753,3220;3221,,,1752
1 754,,,,
1 756,3512;,,,1757
1 757,,,,1756
1 758,,,,
1 760,3520;3521,,,1761
1 761,3522;,,,1760
1 762,,,,
1 888,1416;,,,1889
1 889,3778;3779,,,1888
1 890,3780;3781,,,1891
1 891,,,,1890
1 896,3792;3793,,,
1 898,,,,
1 920,3840;3841,,,1921
1 921,,,,1920
1 926,,,,
1 928,3856;3857,,,
1 930,,,,
1 960,3504;,,,1961
1 961,3922;,,,1960
1 962,,,,
1 964,3928;,,,1965
1 965,3930;,,,1964
1 966,3932;,,,1967
1 967,3934;,,,1966
2 000,4000;,,,2001
2 001,4002;,,,2000
2 002,4004;,,,2003
2 003,4006;4007,,,2002
2 368,4736;4737,,,2369
2 369,,,,2368
2 372,4744;4745,,,2373
2 373,,,,2372
2 376,4752;4753,,,2377
2 377,4754;4755,,,2376
2 400,4800;4801,,,2401
2 401,4802;,,,2400
2 402,4804;4805,,,2403
2 403,4806;4807,,,2402
2 404,4808;4809,,,2405
2 405,4810;4811,,,2404
2 424,4848;4849,,,2425
2 425,4850;,,,2424
2 426,,,,
2 816,5632;,,,2817
2 817,5634;,,,2816
2 824,5648;5649,,,2825
2 825,5650;5651,,,2824
2 832,5664;5665,,,2833
2 833,5666;,,,2832
2 944,5888;5889,,,2945
2 945,,,,2944
2 948,5634;,,,2949
2 949,5898;5899,,,2948
2 950,5900;5901,,,
2 952,5904;,,,2953
2 953,5906;,,,2952
2 954,5908;5909,,,
2 960,5920;,,,2961
2 961,5922;,,,2960
2 964,5928;,,,2965
2 965,5930;5931,,,2964
2 966,,,,
2 968,5936;,,,
2 970,5940;,,,2971
2 971,5942;,,,2970
2 972,5944;5945,,,2973
2 973,5946;,,,2972
2 974,2944;2945,,,2975
2 975,5950;,,,2974
2 976,2960;2961,,,2977
2 977,5954;,,,2976
3 008,5648;5649,,,3009
3 009,6018;,,,3008
3 010,,,,
3 012,6024;,,,3013
3 013,6026;6027,,,3012
3 014,,,,
3 028,6056;6057,,,3029
3 029,,,,3028
3 030,6060;6061,,,3031
3 031,6062;,,,3030
3 040,6080;6081,,,3041
3 041,6082;6083,,,3040
3 076,6152;6153,,,
3 078,6156;6157,,,3079
3 079,6158;,,,3078
3 080,6160;6161,,,
3 082,6164;6165,,,3083
3 083,6166;,,,3082
3 084,6168;6169,,,3085
3 085,6170;,,,3084
3 086,,,,
3 104,6208;6209,,,3105
3 105,6210;,,,3104
3 106,,,,
3 156,1652;,,,3157
3 157,6314;,,,3156
3 160,1744;1745,,,3161
3 161,6322;,,,3160
3 162,,,,
3 170,,,,
3 172,6344;6345,,,3173
3 173,6346;6347,,,3172
3 174,,,,
3 184,6368;6369,,,3185
3 185,6370;,,,3184
3 186,6372;,,,3187
3 187,6374;,,,3186
3 208,6416;,,,3209
3 209,,,,3208
3 210,6420;,,,3211
3 211,,,,3210
3 218,,,,
3 220,,,,3221
3 221,,,,3220
3 222,,,,
3 230,6460;6461,,,3231
3 231,1488;1489,,,3230
3 264,6528;,,,3265
3 265,,,,3264
3 266,,,,
3 272,6544;6545,,,
3 274,6548;,,,3275
3 275,6550;,,,3274
3 276,6552;,,,3277
3 277,6554;,,,3276
3 296,6592;6593,,,3297
3 297,6594;,,,3296
3 298,6596;6597,,,3299
3 299,6598;,,,3298
3 304,6080;6081,,,3305
3 305,6610;,,,3304
3 344,6688;6689,,,3345
3 345,6152;6153,,,3344
3 346,,,,
3 348,5936;,,,
3 350,,,,
3 488,6060;6061,,,3489
3 489,6978;,,,3488
3 490,,,,3491
3 491,,,,3490
3 504,2952;2953,,,
3 512,7024;,,,
3 520,7040;7041,,,3521
3 521,,,,3520
3 522,,,,
3 778,4000;,,,3779
3 779,,,,3778
3 780,,,,3781
3 781,,,,3780
3 792,7584;7585,,,3793
3 793,7586;,,,3792
3 840,7680;7681,,,3841
3 841,,,,3840
3 856,7712;7713,,,3857
3 857,7714;,,,3856
3 922,,,,
3 928,,,,
3 930,,,,
3 932,7864;7865,,,
3 934,,,,
4 000,8000;8001,,,
4 002,,,,
4 004,,,,
4 006,8012;8013,,,4007
4 007,8014;8015,,,4006
4 736,9472;9473,,,4737
4 737,,,,4736
4 744,9488;9489,,,4745
4 745,,,,4744
4 752,9504;9505,,,4753
4 753,9506;,,,4752
4 754,,,,4755
4 755,,,,4754
4 800,9600;9601,,,4801
4 801,9602;,,,4800
4 802,,,,
4 804,,,,4805
4 805,9610;9611,,,4804
4 806,9612;9613,,,4807
4 807,9614;,,,4806
4 808,9616;9617,,,4809
4 809,9618;,,,4808
4 810,9620;9621,,,4811
4 811,9622;,,,4810
4 848,9696;9697,,,4849
4 849,,,,4848
4 850,9700;9701,,,
5 632,11264;,,,
5 634,11268;,,,
5 648,,,,5649
5 649,,,,5648
5 650,11300;,,,5651
5 651,,,,5650
5 664,11328;,,,5665
5 665,11330;11331,,,5664
5 666,,,,
5 888,11776;,,,5889
5 889,,,,5888
5 898,,,,5899
5 899,,,,5898
5 900,11800;11801,,,5901
5 901,11802;,,,5900
5 904,11808;,,,
5 906,,,,
5 908,11816;,,,5909
5 909,11818;,,,5908
5 920,11840;,,,
5 922,11776;,,,
5 928,11856;,,,
5 930,11860;11861,,,5931
5 931,11862;,,,5930
5 936,6160;6161,,,
5 940,,,,
5 942,,,,
5 944,11888;,,,5945
5 945,11890;11891,,,5944
5 946,,,,
5 950,,,,
5 954,,,,
6 018,12036;,,,
6 024,5920;,,,
6 026,12052;12053,,,6027
